# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   459   2.958371e+01   9.666605e-01   0.272819772491   0.368392104208   0.221179435442   0.420288459852
   460   2.967904e+01   9.764002e-01   0.177723711910   0.272819772491   0.126343316662   0.324460109540
   461   2.977390e+01   9.862385e-01   0.083111051309   0.177723711910   0.031994397573   0.229104107157
   462   2.986827e+01   9.961764e-01   -0.011011309590   0.083111051309   -0.061860546828   0.134227705046
   463   2.996214e+01   1.006215e+00   -0.104636702284   -0.011011309590   -0.155214973798   0.039837927648
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   459   2.958371e+01   9.666605e-01   0.272819772491   0.368392104208   0.221179435442   0.420288459852
   460   2.967904e+01   9.764002e-01   0.177723711910   0.272819772491   0.126343316662   0.324460109540
   461   2.977390e+01   9.862385e-01   0.083111051309   0.177723711910   0.031994397573   0.229104107157
   462   2.986827e+01   9.961764e-01   -0.011011309590   0.083111051309   -0.061860546828   0.134227705046
   463   2.996214e+01   1.006215e+00   -0.104636702284   -0.011011309590   -0.155214973798   0.039837927648
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   459   2.958371e+01   9.666605e-01   0.272819772491   0.368392104208   0.221179435442   0.420288459852
   460   2.967904e+01   9.764002e-01   0.177723711910   0.272819772491   0.126343316662   0.324460109540
   461   2.977390e+01   9.862385e-01   0.083111051309   0.177723711910   0.031994397573   0.229104107157
   462   2.986827e+01   9.961764e-01   -0.011011309590   0.083111051309   -0.061860546828   0.134227705046
   463   2.996214e+01   1.006215e+00   -0.104636702284   -0.011011309590   -0.155214973798   0.039837927648
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone 0
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (100.000000 - 0.000000) Mpc/h
# opening half-angle = 180.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
